,name,main_artist,release_date,duration_ms,popularity,explicit,album_type,track_id,main_artist_id,genre,list_country,ranking
1222,vampire,Olivia Rodrigo,2023-09-08,219724,95,True,album,1kuGVB7EU95pJObxwvfwKS,1McMsnEElThX1knmY4oliG,pop,ireland,23
1223,BURN,¥$,2024-02-09,111458,29,True,album,04CyMEHliadfQWMUJb1w99,4xPQFgDA5M2xa0ZGo5iIsv,,ireland,24
1224,DNA (Loving You) [feat. Hannah Boleyn],Billy Gillies,2023-07-28,164919,81,False,single,6ibDVMcMUNqZ5eXT9sD4Vy,0kmovylAP20DMJhS3BE2CO,bouncy house,ireland,25
1225,Evergreen,Richy Mitch & The Coal Miners,2017-05-17,87000,89,False,album,6me7F0aaZjwDo6RJ5MrfBD,4qU7IJSReZnsLy5907Mtau,modern folk rock,ireland,26
1226,The Night We Met,Lord Huron,2015-04-07,208211,83,False,album,0QZ5yyl6B6utIWkxeBDxQN,6ltzsmQQbmdoHHbLZ4ZN25,indie folk,ireland,27
1227,Forever,Noah Kahan,2024-02-09,268353,82,False,album,0FlwhvrncUKrEAhzunmCKm,2RQXRUsr4IW1f3mKyKsy4B,pov: indie,ireland,28
1228,Home,Good Neighbours,2024-01-17,157485,83,False,single,6dpLxbF7lfCAnC9QRTjNLK,52N3KGrTWDRhdQJrgBTofE,,ireland,29
1229,Dial Drunk (with Post Malone),Noah Kahan,2023-07-18,213817,88,True,single,22VHOlVYBqytsrAqV8yXBK,2RQXRUsr4IW1f3mKyKsy4B,pov: indie,ireland,30
1230,BACK TO ME,¥$,2024-02-09,295471,30,True,album,1icgLGTpX2fQXKRe4D7w2b,4xPQFgDA5M2xa0ZGo5iIsv,,ireland,31
1231,exes,Tate McRae,2023-12-08,159400,91,True,album,4E63weMCaNZuGPEFMnuEi8,45dkTj5sMRSjrmBSBeiHym,alt z,ireland,32
1232,redrum,21 Savage,2024-01-12,270697,97,True,album,52eIcoLUM25zbQupAZYoFh,1URnnhqYAYcrqrcwql10ft,atl hip hop,ireland,33
1233,Never Lose Me,Flo Milli,2023-11-30,125901,93,True,single,6uTPdRrEDeH8Fyg5L5qmeU,08PvCOlef4xdOr20jFSTPd,viral rap,ireland,34
1234,Dance The Night - From Barbie The Album,Dua Lipa,2023-05-25,176579,93,False,single,1vYXt7VSjH9JIM5oRRo7vA,6M2wZ9GZgrQXHCFfjv46we,dance pop,ireland,35
1235,My Love Mine All Mine,Mitski,2023-09-15,137773,99,False,album,3vkCueOmm7xQDoJ17W1Pm3,2uYWxilOVlUdk4oV9DvwqK,brooklyn indie,ireland,36
1236,Whatever,Kygo,2024-01-19,178273,90,False,single,0LMwmV37RCmBO2so0szAFs,23fqKkggKUBHNkbKtXEls4,edm,ireland,37
1237,Birds In The Sky - Protein Bor Remix,NewEra,2024-02-12,156290,49,False,single,6sv1Ldv3ZTO1oGBRiGprDg,4QLa9DWZEpFrBhNG5UWXF1,,ireland,38
1238,Northern Attitude (with Hozier),Noah Kahan,2023-11-10,267256,85,True,single,4oEf84vBYVftf6KmZexhVo,2RQXRUsr4IW1f3mKyKsy4B,pov: indie,ireland,39
1239,End of Beginning,Djo,2022-09-16,159245,78,False,album,3qhlB30KknSejmIvZZLjOD,5p9HO3XC5P3BLxJs5Mtrhm,indie pop,ireland,40
1240,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,2023-07-13,222369,95,False,single,6wf7Yu7cxBSPrRlWeSeK0Q,6qqNVTkY8uBg9cP3Jd7DAH,art pop,ireland,41
1241,Iris,The Goo Goo Dolls,1998-09-11,289533,89,False,album,6Qyc6fS4DsZjB2mRW9DsQs,2sil8z5kiy4r76CRTXxBCA,neo mellow,ireland,42
1242,On My Love,Zara Larsson,2024-02-09,222911,64,False,album,1ewzs8xG9P7wSZhpp8VCuy,1Xylc3o4UrD53lo9CvFvVg,pop,ireland,43
1243,Linger,The Cranberries,1993-03-01,274706,86,False,album,0gEyKnHvgkrkBM6fbeHdwK,7t0rwkOPGlDPEhaOcVtOt9,irish rock,ireland,44
1244,You’re Gonna Go Far,Noah Kahan,2023-06-09,286369,84,True,album,4nHJcUtNSUVjXRnjdP29Bk,2RQXRUsr4IW1f3mKyKsy4B,pov: indie,ireland,45
1245,FUK SUMN,¥$,2024-02-09,209577,30,True,album,5tEaVciE2GnR28aN6W9cLS,4xPQFgDA5M2xa0ZGo5iIsv,,ireland,46
1246,Mr. Brightside,The Killers,2004,222973,90,False,album,003vvx7Niy0yvhvHt4a68B,0C0XlULifJtAgn6ZNCW2eu,alternative rock,ireland,47
1247,Anti-Hero,Taylor Swift,2022-10-21,200690,92,False,album,0V3wPSX9ygBnCm8psDIegu,06HL4z0CvFAxyc27GXpf02,pop,ireland,48
1248,Water,Tyla,2023-07-28,200255,95,False,single,5aIVCx5tnk0ntmdiinnYvw,3SozjO3Lat463tQICI9LcE,,ireland,49
1249,Lil Boo Thang,Paul Russell,2023-08-18,114233,89,False,single,0cVyQfDyRnMJ0V3rjjdlU3,4zoRNhOhsGX3w8yBAnFSQ8,indie r&b,ireland,50
